SourceUrl,PropertyName,ObjectName,ObjectNickname,ObjectGuid,ObjectDescription,ContainerText,JsonPath
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","95311a","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.16.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","b72873","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.17.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","747d3d","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.18.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","3ee4c7","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.19.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","765e2e","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.2.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","271c7b","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.20.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","5bd321","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.21.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","04b3ef","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.3.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","4d2294","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.4.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","8270da","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.5.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","64c292","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.6.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","1f3128","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.7.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","b2e34c","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.8.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","f15e84","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.9.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","8387e3","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.10.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","594c45","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.11.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","bb4951","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.12.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","925436","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.13.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","e8f2ca","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.14.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","d07b26","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.15.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","bb8e26","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.16.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","a5bd2d","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.17.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","9803c0","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.18.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","d5fa27","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.19.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","1f0913","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.2.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","b64c0f","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.20.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","3572b1","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.21.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","d911fd","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.22.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","621cec","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.23.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","645e84","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.3.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","f34eda","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.4.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","3bd369","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.5.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","14d235","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.6.CustomDeck.167.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020548/CF11F6537C6390B0328A602F527E41AC6E1C0367/","BackURL","Card","","f0303b","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | FAQ","$.ObjectStates[47].ContainedObjects[2].States.7.CustomDeck.167.BackURL"
