ImageId,RepositoryPath,Width,Height,Bytes,Sha256,IsKnownSourceSheet,KnownCropCount,PriorityScore
"legacy-image-0098","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6225167008bb5fce.jpg",1024,1024,164393,"782747239f7975a5f5a2be7c0c441eaf4981424aad57970a3a78ae92f7a0561c",True,1,1070
"legacy-image-0100","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__631e741e3464206b.png",2048,2048,1492178,"77ead0758500fc8caeb026a4f08e3746258f1b95531b5da8a9ed29e014a1ddc6",True,1,1070
"legacy-image-0102","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__68ff2cc03d300acb.png",2048,2048,1508178,"ccc00b2c563b2a35c72a29111cf2e4991d4989802403903ed70fe9ad98835ebb",True,1,1070
"legacy-image-0103","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6938d04d38918f0f.png",1024,1024,377878,"ef9e27b8afd849538307b76b3f9d9e98ead812b333c40781c25a7743f50a7842",True,1,1070
"legacy-image-0104","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__69f4ecd608d361bf.png",1024,1024,515840,"1e5b0686ad3bc00febc382e01bdef59968e6f53cd8642f2f67d5b3d077ab1ade",True,1,1070
"legacy-image-0105","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6a0c60074efb9f5c.png",2000,2000,924687,"0e38d44e9d15ba4231b26b6333e64b5c6a97d4bf1f31151c7946a99be96adcf3",True,1,1070
"legacy-image-0109","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6dda404247201f0c.png",2048,2048,1029655,"08a72e2763f8e1abba87467d4727ef75eeaa84766ca346a51158f06748ea7253",True,1,1070
"legacy-image-0111","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6e97d1e9c3fe2186.jpg",2300,2300,621013,"725809cc38366f0f7bd3f70e205ec76abfceaad5ad5be0b0b03d82aad7bdb205",True,1,1070
"legacy-image-0112","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6ea7c985873a0654.jpg",2048,2048,733076,"0b50322807ea931fad2f093bfe60bf833e9d60739a3954daa18bf8118bf9a378",True,1,1070
"legacy-image-0113","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6feb9e8d6d3b24e9.jpg",1024,1024,139136,"28b50648f4e23878238cd32d1261c2b79f14d123603877f66718f9796ed21c39",True,1,1070
"legacy-image-0115","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__70dd166decee0563.jpg",2300,2300,623177,"bfcd54276cdddbdd269767a4b05aa9258af3a52f6e301545b830830e6f03b263",True,1,1070
"legacy-image-0116","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__7416dd8e946ea549.png",2000,2000,926176,"def7a8969c03f4f0117109b0d895f3a6075b765a92bb77f9a63299ab108e30a6",True,1,1070
"legacy-image-0118","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__764db731223587eb.png",1024,1024,726863,"d1aa5da26869f11ec4e787b9fa6448930eef2a5aedaefaeb374c2ee646a7f4a4",True,1,1070
