status,pilotId,targetId,displayName,faction,ship,sourceRepositoryPath,outputRepositoryPath,x,y,width,height,message
recovered,"rebelalliance::arc170::braylenstramm","braylenstramm","Braylen Stramm","Rebel Alliance","ARC-170","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__d47c3d7b1df4bb8b.jpg","assets/generated/PilotBaseToken/rebel-alliance/arc-170/braylenstramm__pilot-559672c5acf1.png",26,34,445,516,
recovered,"rebelalliance::arc170::thanekyrell","thanekyrell","Thane Kyrell","Rebel Alliance","ARC-170","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8607a2723e631383.jpg","assets/generated/PilotBaseToken/rebel-alliance/arc-170/thanekyrell__pilot-f24f4c0fdc1d.png",26,34,445,516,
recovered,"scumandvillainy::z95headhunter::nashtahpuppilot","nashtahpuppilot","Nashtah Pup Pilot","Scum and Villainy","Z-95 Headhunter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__1ecc570f5ef1037c.png","assets/generated/PilotBaseToken/scum-and-villainy/z-95-headhunter/nashtahpuppilot__pilot-72f1ca9d274c.png",25,34,448,521,
recovered,"scumandvillainy::ywing::syndicatethug","syndicatethug","Syndicate Thug","Scum and Villainy","Y-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__374735e7754c1aca.jpg","assets/generated/PilotBaseToken/scum-and-villainy/y-wing/syndicatethug__pilot-af51e58b9ce6.png",25,34,448,521,
recovered,"rebelalliance::ywing::goldsquadronpilot","goldsquadronpilot","Gold Squadron Pilot","Rebel Alliance","Y-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6a7b8d7726325ec7.jpg","assets/generated/PilotBaseToken/rebel-alliance/y-wing/goldsquadronpilot__pilot-e24f1d2a662a.png",25,34,448,521,
recovered,"rebelalliance::ywing::graysquadronpilot","graysquadronpilot","Gray Squadron Pilot","Rebel Alliance","Y-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6a7b8d7726325ec7.jpg","assets/generated/PilotBaseToken/rebel-alliance/y-wing/graysquadronpilot__pilot-527388f60fb4.png",25,624,448,521,
recovered,"scumandvillainy::starviper::thweek","thweek","Thweek","Scum and Villainy","StarViper","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__dbc816c1aa07a8d7.png","assets/generated/PilotBaseToken/scum-and-villainy/starviper/thweek__pilot-c91ee69af970.png",26,35,446,523,
recovered,"scumandvillainy::starviper::blacksunvigo","blacksunvigo","Black Sun Vigo","Scum and Villainy","StarViper","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__510261e24ba08017.png","assets/generated/PilotBaseToken/scum-and-villainy/starviper/blacksunvigo__pilot-6163bfc10154.png",26,35,446,525,
recovered,"scumandvillainy::scurrgh6bomber::karthakkpirate","karthakkpirate","Karthakk Pirate","Scum and Villainy","Scurrg H-6 Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__e99d2d77daa8bb04.png","assets/generated/PilotBaseToken/scum-and-villainy/scurrg-h-6-bomber/karthakkpirate__pilot-fa5e5d36dbca.png",10,38,295,329,
recovered,"rebelalliance::scurrgh6bomber::captainnym","captainnym","Captain Nym","Rebel Alliance","Scurrg H-6 Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__3bf704ca6e757c26.png","assets/generated/PilotBaseToken/rebel-alliance/scurrg-h-6-bomber/captainnym__pilot-443467780783.png",27,38,278,329,
